Date,AAPL,MSFT,AMZN,NVDA,META,TSLA,GOOGL,AVGO,COST,GOOG
2024-11-11,224.22999572753906,418.010009765625,206.83999633789062,145.25999450683594,583.1699829101562,350.0,180.35000610351562,178.91000366210938,932.8800048828125,181.97000122070312
2024-11-12,224.22999572753906,423.0299987792969,208.91000366210938,148.2899932861328,584.8200073242188,328.489990234375,181.6199951171875,176.22000122070312,932.3800048828125,183.32000732421875
2024-11-13,225.1199951171875,425.20001220703125,214.10000610351562,146.27000427246094,580.0,330.239990234375,178.8800048828125,173.5800018310547,933.72998046875,180.49000549316406
2024-11-14,228.22000122070312,426.8900146484375,211.47999572753906,146.75999450683594,577.1599731445312,311.17999267578125,175.5800018310547,170.3800048828125,923.8900146484375,177.35000610351562
2024-11-15,225.0,415.0,202.61000061035156,141.97999572753906,554.0800170898438,320.7200012207031,172.49000549316406,164.83999633789062,907.0700073242188,173.88999938964844
2024-11-18,233.06079,420.99976,187.25961,139.29764,585.56836,265.42935,163.52502,171.65848,887.0554,165.32225
2024-11-19,233.68747,427.07248,188.00352,133.08098,587.0124,262.5096,164.80484,174.97896,889.51276,167.01846
2024-11-20,235.60757,426.07272,188.15042,137.00824,588.97003,255.68958,165.69139,176.40677,887.2019,167.7093
2024-11-21,232.34154,420.18536,188.0689,138.11664,576.4577,244.64456,164.48964,171.73143,890.3224,166.81998
2024-11-22,235.6688,421.2501,187.70605,135.92926,577.3428,243.18417,164.24786,169.79,898.16675,165.74736
2024-11-23,231.02904,426.59125,189.10777,137.87909,573.62006,250.58134,165.31683,170.03871,893.4893,166.81395
2024-11-24,230.56999,424.09277,195.26105,139.97414,567.6206,264.97833,165.64005,174.05997,898.0973,167.55042
