Date,AAPL,NVDA,XOM,LIN,JNJ,AZN,GM,PEP,NFLX,COST
2024-11-11,224.22999572753906,145.25999450683594,119.48815155029297,456.44000244140625,155.0399932861328,64.79000091552734,57.65999984741211,164.25999450683594,805.4400024414062,932.8800048828125
2024-11-12,224.22999572753906,148.2899932861328,119.36912536621094,455.5899963378906,152.63999938964844,65.19000244140625,57.40999984741211,164.33999633789062,819.5,932.3800048828125
2024-11-13,225.1199951171875,146.27000427246094,120.4800033569336,456.239990234375,153.24000549316406,65.29000091552734,57.709999084472656,164.74000549316406,830.469970703125,933.72998046875
2024-11-14,228.22000122070312,146.75999450683594,120.55999755859375,453.489990234375,151.8699951171875,65.04000091552734,57.619998931884766,165.14999389648438,837.260009765625,923.8900146484375
2024-11-15,225.0,141.97999572753906,119.30999755859375,449.1000061035156,154.0,63.22999954223633,57.040000915527344,158.6199951171875,823.9600219726562,907.0700073242188
2024-11-18,233.06079,139.29764,122.65739,483.97964,161.78087,75.046455,52.427185,174.917,719.06305,887.0554
2024-11-19,233.68747,133.08098,120.190285,485.75378,164.00926,75.049446,52.463352,174.47992,715.8144,889.51276
2024-11-20,235.60757,137.00824,120.16747,480.346,162.82994,72.99015,52.67707,174.47983,699.3603,887.2019
2024-11-21,232.34154,138.11664,120.00996,476.07172,162.82999,71.1386,52.58315,174.57927,687.9428,890.3224
2024-11-22,235.6688,135.92926,119.91873,473.76172,163.40813,71.150375,52.42661,174.53404,766.04254,898.16675
2024-11-23,231.02904,137.87909,120.01602,473.76004,162.82982,71.147255,52.366093,174.18903,766.9461,893.4893
2024-11-24,230.56999,139.97414,119.98412,473.7599,162.68625,66.50721,51.80062,173.36844,762.29285,898.0973
