Date,AAPL,MSFT,AMZN,NVDA,META,TSLA,GOOGL,AVGO,COST,GOOG
2024-11-18,233.06079,420.99976,187.25961,139.29764,585.56836,265.42935,163.52502,171.65848,887.0554,165.32225
2024-11-19,233.68747,427.07248,188.00352,133.08098,587.0124,262.5096,164.80484,174.97896,889.51276,167.01846
2024-11-20,235.60757,426.07272,188.15042,137.00824,588.97003,255.68958,165.69139,176.40677,887.2019,167.7093
2024-11-21,232.34154,420.18536,188.0689,138.11664,576.4577,244.64456,164.48964,171.73143,890.3224,166.81998
2024-11-22,235.6688,421.2501,187.70605,135.92926,577.3428,243.18417,164.24786,169.79,898.16675,165.74736
2024-11-23,231.02904,426.59125,189.10777,137.87909,573.62006,250.58134,165.31683,170.03871,893.4893,166.81395
2024-11-24,230.56999,424.09277,195.26105,139.97414,567.6206,264.97833,165.64005,174.05997,898.0973,167.55042
